,Sample Site,Coliform (Quanti-Tray) (MPN /100mL),X coordinate,Y coordinate,lon,lat
152,50200,4.2,960455,169298,-74.08572727911978,40.63132824327583
153,14650,3.1,1006655,239592,-73.91904640571838,40.82427129393504
154,15150,3.1,1008300,245099,-73.91308297829433,40.83938211323741
155,15450,3.1,1017550,260554,-73.8795766912318,40.881771384658336
156,18100,3.1,1025309,244013,-73.8516191645627,40.83633856498724
157,1S03,3.1,1024950,264277,-73.85279343189916,40.891958784633715
158,1S03A,3.1,1024721,264392,-73.85362099654378,40.8922754779492
159,1S03B,3.1,1014949,260688,-73.88898208153478,40.88214861955045
160,1SCH3,3.1,1013921,259223,-73.89270615348444,40.87813116759797
161,1SCL1,3.1,1013921,259223,-73.89270615348444,40.87813116759797
162,20650,3.1,983827,157189,-74.00152328857548,40.59812345097804
163,21950,3.1,997809,181345,-73.9511262066722,40.66441597085104
164,23150,3.1,992883,164317,-73.96890397253107,40.61768405279928
165,24150,3.1,1008575,185680,-73.9123042735732,40.67629145548342
166,24250,3.1,989290,165338,-73.981845189623,40.62048927847855
167,24550,3.1,1001869,170545,-73.9365201184736,40.63476519617542
168,24750,3.1,995293,161067,-73.96022848741106,40.60876079620399
169,25950,3.1,1003601,164002,-73.93029865236225,40.616802441343616
170,27000,3.1,996850,197261,-73.95455308838825,40.70810308861582
171,31550,3.1,983716,209861,-74.00192681744367,40.742695982697526
172,33450,3.1,997082,230895,-73.95365200794362,40.80041954943305
173,35050,3.1,995934,236325,-73.95778899839108,40.81532502484534
174,38250,3.1,997994,222826,-73.95037448441799,40.77827089370168
175,39550,3.1,997170,225580,-73.95334438958642,40.78583115367883
176,40200,3.1,1012206,222705,-73.89905998407974,40.777905192916165
177,40750,3.1,1014894,214445,-73.889392196538,40.75522468755645
178,41450,3.1,1012510,193596,-73.89808472395124,40.69800730719213
179,43050,3.1,1026611,193874,-73.84723008296605,40.69871401153568
180,44700,3.1,1040470,205827,-73.79714959741555,40.73144476298565
181,45000,3.1,1056313,213038,-73.73990867365063,40.75112212511442
182,47150,3.1,1033893,228531,-73.82071260667132,40.79380070524039
183,50200,3.1,960455,169298,-74.08572727911978,40.63132824327583
184,11900,2,1009464,248889,-73.90886202848905,40.84978131238003
185,13550,2,1008924,250942,-73.91080633530339,40.85541772345902
186,15250,2,1013358,248845,-73.89478710808885,40.84964854547019
187,19000,2,1024284,264511,-73.85520085827332,40.892604091459326
188,1S04,2,1012568,256577,-73.89760993146183,40.87087315671091
189,1S07,2,1004013,245233,-73.92857580153655,40.83976056220037
